date,macd,macdsignal,macdhist,mom,sma20,sma50,sma100,sma200,rsi,stddev,close,symbol,volatility,rsi_value
2015-02-05,-1.0,-1.0,0.0,0.44000000000000483,44.62,46.26,46.28,44.1,39.81,0.021082801170367104,42.45,MSFT,33.46790930244771,5
2015-02-06,-1.0,-1.0,0.0,2.009999999999998,44.37,46.15,46.24,44.12,39.66,0.007774990890289372,42.41,MSFT,12.342415404899013,5
2015-02-09,-1.0,-1.0,0.0,1.0799999999999983,44.12,46.05,46.2,44.13,39.45,0.005886041423224528,42.36,MSFT,9.34380108748607,5
2015-02-10,-1.0,-1.0,0.0,1.0,43.92,45.95,46.17,44.15,41.05,0.0057627105951494765,42.6,MSFT,9.14801946744152,5
2015-02-11,-1.0,-1.0,0.0,0.5399999999999991,43.72,45.84,46.12,44.16,40.01,0.006928436761632127,42.38,MSFT,10.998552387429783,5
2015-02-12,-1.0,-1.0,0.0,0.6400000000000006,43.58,45.73,46.08,44.18,44.89,0.0076930373420168,43.09,MSFT,12.212318180225882,5
2015-02-13,-1.0,-1.0,0.0,1.4600000000000009,43.5,45.64,46.05,44.2,49.73,0.009326117046940184,43.87,MSFT,14.804751842450294,4
2015-02-17,-1.0,-1.0,0.0,1.2199999999999989,43.37,45.55,46.03,44.22,48.04,0.010445508421239291,43.58,MSFT,16.58173056013805,4
2015-02-18,-1.0,-1.0,0.0,0.9299999999999997,43.22,45.44,46.0,44.24,47.74,0.01080568493019949,43.53,MSFT,17.153493042615715,4
2015-02-19,-1.0,-1.0,0.0,1.1199999999999974,43.1,45.34,45.97,44.27,47.54,0.010142511270325219,43.5,MSFT,16.1007374945702,4
2015-02-20,-1.0,-1.0,0.0,0.769999999999996,42.94,45.27,45.95,44.3,50.14,0.008687320169352033,43.86,MSFT,13.790693236620601,4
2015-02-23,0.0,-1.0,0.0,0.28000000000000114,42.79,45.2,45.93,44.32,52.2,0.005466259838754578,44.15,MSFT,8.677418481002785,4
2015-02-24,0.0,-1.0,0.0,0.5100000000000051,42.64,45.14,45.91,44.35,51.72,0.004207229574739612,44.09,MSFT,6.678769897990229,4
2015-02-25,0.0,-1.0,0.0,0.46000000000000085,42.71,45.08,45.89,44.37,50.89,0.004411855326498987,43.99,MSFT,7.0036032085871955,4
2015-02-26,0.0,0.0,0.0,0.5600000000000023,42.85,45.02,45.88,44.4,51.48,0.004211799418845311,44.06,MSFT,6.686024300610638,4
2015-02-27,0.0,0.0,0.0,-0.00999999999999801,42.94,44.96,45.86,44.42,49.56,0.003897455603792724,43.85,MSFT,6.187018964130381,4
2015-03-02,0.0,0.0,0.0,-0.269999999999996,43.12,44.94,45.84,44.44,49.85,0.002245996919808725,43.88,MSFT,3.56540957713858,4
2015-03-03,0.0,0.0,0.0,-0.8100000000000023,43.22,44.89,45.82,44.46,44.4,0.005475005538986001,43.28,MSFT,8.691301849714865,5
2015-03-04,0.0,0.0,0.0,-0.9299999999999997,43.29,44.8,45.79,44.48,42.57,0.005444855270352591,43.06,MSFT,8.643439782055388,5
2015-03-05,0.0,0.0,0.0,-0.9500000000000028,43.36,44.71,45.76,44.5,43.14,0.0053545489998243125,43.11,MSFT,8.50008302186686,5
2015-03-06,0.0,0.0,0.0,-1.490000000000002,43.35,44.6,45.75,44.51,37.13,0.007508291708541781,42.36,MSFT,11.919043579037888,5
2015-03-09,0.0,0.0,0.0,-1.0300000000000011,43.37,44.49,45.74,44.53,42.75,0.01040077362914455,42.85,MSFT,16.510716279237126,5
2015-03-10,0.0,0.0,0.0,-1.25,43.36,44.36,45.73,44.54,36.82,0.011514871777280174,42.03,MSFT,18.279292260887804,5
2015-03-11,0.0,0.0,0.0,-1.0800000000000054,43.33,44.24,45.72,44.55,36.49,0.011666167047454525,41.98,MSFT,18.5194660565408,5
2015-03-12,-1.0,0.0,0.0,-2.0899999999999963,43.26,44.12,45.71,44.56,30.76,0.013010558170815097,41.02,MSFT,20.6536208028697,5
2015-03-13,-1.0,0.0,0.0,-0.9799999999999969,43.17,44.0,45.69,44.57,34.89,0.01412068818149584,41.38,MSFT,22.415897561596132,5
2015-03-16,-1.0,0.0,0.0,-1.2899999999999991,43.06,43.91,45.66,44.58,36.92,0.012694052143258859,41.56,MSFT,20.15118306044964,5
2015-03-17,-1.0,-1.0,0.0,-0.3299999999999983,42.96,43.8,45.63,44.58,38.52,0.011137449635550075,41.7,MSFT,17.680153185103475,5
2015-03-18,-1.0,-1.0,0.0,0.5200000000000031,42.91,43.73,45.62,44.6,46.83,0.013895774953785606,42.5,MSFT,22.058858881342058,4
2015-03-19,-1.0,-1.0,0.0,1.269999999999996,42.85,43.66,45.59,44.61,45.11,0.007884029488266232,42.29,MSFT,12.515508813031367,4
2015-03-20,0.0,-1.0,0.0,1.5,42.8,43.59,45.56,44.62,50.61,0.008478452814705894,42.88,MSFT,13.459126590184432,4
2015-03-23,0.0,0.0,0.0,1.2999999999999972,42.74,43.5,45.54,44.63,50.43,0.009002948669852318,42.86,MSFT,14.29173794802539,4
2015-03-24,0.0,0.0,0.0,1.1999999999999957,42.68,43.41,45.5,44.64,50.81,0.009207556020390101,42.9,MSFT,14.616542047588666,4
2015-03-25,0.0,0.0,0.0,-1.0399999999999991,42.55,43.31,45.45,44.65,39.02,0.015689405279459785,41.46,MSFT,24.90615875277266,5
2015-03-26,0.0,0.0,0.0,-1.0799999999999983,42.41,43.21,45.41,44.65,37.4,0.015697158365290096,41.21,MSFT,24.918466394972867,5
2015-03-27,0.0,0.0,0.0,-1.9100000000000037,42.26,43.11,45.35,44.65,35.86,0.012600877955531884,40.97,MSFT,20.003273622848027,5
2015-03-30,-1.0,0.0,0.0,-1.8999999999999986,42.12,43.02,45.29,44.66,35.79,0.012631236530877396,40.96,MSFT,20.051466367161495,5
2015-03-31,-1.0,0.0,0.0,-2.240000000000002,41.99,42.91,45.22,44.66,33.78,0.011739935179869904,40.66,MSFT,18.636569336372467,5
2015-04-01,-1.0,-1.0,0.0,-0.740000000000002,41.87,42.79,45.16,44.66,34.57,0.0035140726765091135,40.72,MSFT,5.578417434630145,5
2015-04-02,-1.0,-1.0,0.0,-0.9200000000000017,41.73,42.68,45.07,44.65,31.65,0.004478225795727428,40.29,MSFT,7.108963062173467,5
2015-04-06,-1.0,-1.0,0.0,0.5799999999999983,41.69,42.57,45.01,44.65,46.05,0.014850303807220374,41.55,MSFT,23.574126460596474,4
2015-04-07,-1.0,-1.0,0.0,0.5700000000000003,41.62,42.46,44.94,44.66,45.89,0.014860727297962421,41.53,MSFT,23.590673239174457,4
2015-04-08,0.0,-1.0,0.0,0.7600000000000051,41.59,42.34,44.86,44.66,44.93,0.01432693444441178,41.42,MSFT,22.743303353903343,5
2015-04-09,0.0,-1.0,0.0,0.759999999999998,41.57,42.32,44.79,44.66,45.6,0.014327821515570143,41.48,MSFT,22.744711535711495,4
2015-04-10,0.0,0.0,0.0,1.4299999999999997,41.6,42.33,44.72,44.66,48.29,0.01241388804783336,41.72,MSFT,19.7064363467785,4
2015-04-13,0.0,0.0,0.0,0.21000000000000085,41.62,42.33,44.64,44.66,48.74,0.0027790096169740997,41.76,MSFT,4.411541002542198,4
2015-04-14,0.0,0.0,0.0,0.11999999999999744,41.63,42.35,44.57,44.66,47.5,0.003122638103338214,41.65,MSFT,4.957034313532396,4
2015-04-15,0.0,0.0,0.0,0.8399999999999963,41.65,42.37,44.5,44.67,54.42,0.005937769169397428,42.26,MSFT,9.42591633883929,4
2015-04-16,0.0,0.0,0.0,0.6799999999999997,41.64,42.38,44.44,44.67,53.18,0.006445273822942051,42.16,MSFT,10.231555000331532,4
